The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 18/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham A4540 Roadside",,"Birmingham Acocks Green",
Latitude,,52.476145,,52.437165,,
Longitude,,-1.874978,,-1.829999,,
Site Type,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,West Midlands,,
Agglomeration,,West Midlands Urban Area,,West Midlands Urban Area,,
Local Authority,,"Birmingham",,"Birmingham",,
Date,Time,"Ozone",Status,"Ozone",Status
2017-11-01,01:00:00,21.55356,V ugm-3,36.12217,V ugm-3
2017-11-01,02:00:00,21.35399,V ugm-3,31.0664,V ugm-3
2017-11-01,03:00:00,24.84647,V ugm-3,25.34539,V ugm-3
2017-11-01,04:00:00,16.46452,V ugm-3,21.15442,V ugm-3
2017-11-01,05:00:00,8.98065,V ugm-3,20.75528,V ugm-3
2017-11-01,06:00:00,5.03914,V ugm-3,19.80732,V ugm-3
2017-11-01,07:00:00,3.59226,V ugm-3,19.50797,V ugm-3
2017-11-01,08:00:00,2.34495,V ugm-3,16.46452,V ugm-3
2017-11-01,09:00:00,2.84387,V ugm-3,14.06969,V ugm-3
2017-11-01,10:00:00,7.83312,V ugm-3,17.26281,V ugm-3
2017-11-01,11:00:00,9.82882,V ugm-3,26.89206,V ugm-3
2017-11-01,12:00:00,15.71614,V ugm-3,34.12647,V ugm-3
2017-11-01,13:00:00,15.51657,V ugm-3,41.80991,V ugm-3
2017-11-01,14:00:00,19.20861,V ugm-3,44.45422,V ugm-3
2017-11-01,15:00:00,17.46238,V ugm-3,45.05293,V ugm-3
2017-11-01,16:00:00,10.97635,V ugm-3,29.23701,V ugm-3
2017-11-01,17:00:00,1.9957,V ugm-3,7.53377,V ugm-3
2017-11-01,18:00:00,1.29721,V ugm-3,2.6443,V ugm-3
2017-11-01,19:00:00,1.29721,V ugm-3,2.94366,V ugm-3
2017-11-01,20:00:00,1.04774,V ugm-3,2.89377,V ugm-3
2017-11-01,21:00:00,1.19742,V ugm-3,2.29506,V ugm-3
2017-11-01,22:00:00,0.79828,V ugm-3,2.04559,V ugm-3
2017-11-01,23:00:00,0,V ugm-3,1.79613,V ugm-3
2017-11-01,24:00:00,-0.04989,V ugm-3,1.79613,V ugm-3
2017-11-02,01:00:00,0.53219,V ugm-3,1.39699,V ugm-3
2017-11-02,02:00:00,0.33262,V ugm-3,3.65878,V ugm-3
2017-11-02,03:00:00,3.54237,V ugm-3,14.81807,V ugm-3
2017-11-02,04:00:00,2.89377,V ugm-3,24.84647,V ugm-3
2017-11-02,05:00:00,7.3342,V ugm-3,27.19141,V ugm-3
2017-11-02,06:00:00,2.29506,V ugm-3,22.10238,V ugm-3
2017-11-02,07:00:00,-0.6985,V ugm-3,11.17592,V ugm-3
2017-11-02,08:00:00,1.49678,V ugm-3,3.49248,V ugm-3
2017-11-02,09:00:00,3.24301,V ugm-3,3.69205,V ugm-3
2017-11-02,10:00:00,4.59011,V ugm-3,6.33635,V ugm-3
2017-11-02,11:00:00,9.23011,V ugm-3,10.82667,V ugm-3
2017-11-02,12:00:00,16.31485,V ugm-3,23.24991,V ugm-3
2017-11-02,13:00:00,27.14152,V ugm-3,31.98109,V ugm-3
2017-11-02,14:00:00,15.66625,V ugm-3,27.69034,V ugm-3
2017-11-02,15:00:00,22.20216,V ugm-3,25.54496,V ugm-3
2017-11-02,16:00:00,21.65335,V ugm-3,32.28045,V ugm-3
2017-11-02,17:00:00,5.68775,V ugm-3,20.15657,V ugm-3
2017-11-02,18:00:00,-0.24946,V ugm-3,4.09119,V ugm-3
