The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 18/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow Townhead",
Latitude,,55.865782,,
Longitude,,-4.243631,,
Site Type,,Urban Background,,
Zone,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,
Date,Time,"Ozone",Status
2017-11-01,01:00:00,41.51056,V ugm-3
2017-11-01,02:00:00,43.30669,V ugm-3
2017-11-01,03:00:00,42.05938,V ugm-3
2017-11-01,04:00:00,43.2568,V ugm-3
2017-11-01,05:00:00,45.75142,V ugm-3
2017-11-01,06:00:00,43.60605,V ugm-3
2017-11-01,07:00:00,35.97249,V ugm-3
2017-11-01,08:00:00,31.08303,V ugm-3
2017-11-01,09:00:00,30.48432,V ugm-3
2017-11-01,10:00:00,26.94195,V ugm-3
2017-11-01,11:00:00,27.64045,V ugm-3
2017-11-01,12:00:00,31.43228,V ugm-3
2017-11-01,13:00:00,31.73163,V ugm-3
2017-11-01,14:00:00,29.2869,V ugm-3
2017-11-01,15:00:00,19.35829,V ugm-3
2017-11-01,16:00:00,19.55786,V ugm-3
2017-11-01,17:00:00,13.02194,V ugm-3
2017-11-01,18:00:00,27.04174,V ugm-3
2017-11-01,19:00:00,36.72088,V ugm-3
2017-11-01,20:00:00,37.81852,V ugm-3
2017-11-01,21:00:00,38.81636,V ugm-3
2017-11-01,22:00:00,47.09852,V ugm-3
2017-11-01,23:00:00,43.9054,V ugm-3
2017-11-01,24:00:00,42.10927,V ugm-3
2017-11-02,01:00:00,51.28949,V ugm-3
2017-11-02,02:00:00,41.24447,V ugm-3
2017-11-02,03:00:00,43.40648,V ugm-3
2017-11-02,04:00:00,33.2783,V ugm-3
2017-11-02,05:00:00,15.91571,V ugm-3
2017-11-02,06:00:00,1.64645,V ugm-3
2017-11-02,07:00:00,1.09763,V ugm-3
2017-11-02,08:00:00,1.29721,V ugm-3
2017-11-02,09:00:00,1.94581,V ugm-3
2017-11-02,10:00:00,2.34495,V ugm-3
2017-11-02,11:00:00,4.04129,V ugm-3
2017-11-02,12:00:00,13.92001,V ugm-3
2017-11-02,13:00:00,29.78582,V ugm-3
2017-11-02,14:00:00,37.71873,V ugm-3
2017-11-02,15:00:00,42.20906,V ugm-3
2017-11-02,16:00:00,34.22626,V ugm-3
2017-11-02,17:00:00,12.82237,V ugm-3
2017-11-02,18:00:00,1.3471,V ugm-3
2017-11-02,19:00:00,1.54667,V ugm-3
2017-11-02,20:00:00,1.69635,V ugm-3
2017-11-02,21:00:00,3.69205,V ugm-3
2017-11-02,22:00:00,4.6899,V ugm-3
2017-11-02,23:00:00,8.6813,V ugm-3
2017-11-02,24:00:00,13.47098,V ugm-3
2017-11-03,01:00:00,12.30682,V ugm-3
2017-11-03,02:00:00,23.0836,V ugm-3
2017-11-03,03:00:00,30.13507,V ugm-3
2017-11-03,04:00:00,42.75787,V ugm-3
2017-11-03,05:00:00,42.20906,V ugm-3
2017-11-03,06:00:00,29.58625,V ugm-3
2017-11-03,07:00:00,18.46023,V ugm-3
2017-11-03,08:00:00,27.09163,V ugm-3
2017-11-03,09:00:00,28.88776,V ugm-3
2017-11-03,10:00:00,34.92475,V ugm-3
2017-11-03,11:00:00,43.50626,V ugm-3
2017-11-03,12:00:00,48.69508,V ugm-3
2017-11-03,13:00:00,49.39358,V ugm-3
2017-11-03,14:00:00,48.94454,V ugm-3
2017-11-03,15:00:00,48.04648,V ugm-3
2017-11-03,16:00:00,46.74927,V ugm-3
2017-11-03,17:00:00,40.26325,V ugm-3
2017-11-03,18:00:00,40.21336,V ugm-3
2017-11-03,19:00:00,40.06368,V ugm-3
2017-11-03,20:00:00,43.40648,V ugm-3
2017-11-03,21:00:00,45.2525,V ugm-3
2017-11-03,22:00:00,42.95744,V ugm-3
2017-11-03,23:00:00,42.05938,V ugm-3
2017-11-03,24:00:00,40.71228,V ugm-3
2017-11-04,01:00:00,43.30669,V ugm-3
2017-11-04,02:00:00,40.04705,V ugm-3
2017-11-04,03:00:00,44.40433,V ugm-3
2017-11-04,04:00:00,44.75357,V ugm-3
2017-11-04,05:00:00,48.44562,V ugm-3
2017-11-04,06:00:00,48.34583,V ugm-3
2017-11-04,07:00:00,44.20476,V ugm-3
2017-11-04,08:00:00,35.274,V ugm-3
2017-11-04,09:00:00,28.53851,V ugm-3
2017-11-04,10:00:00,27.59055,V ugm-3
2017-11-04,11:00:00,40.66239,V ugm-3
2017-11-04,12:00:00,52.48691,V ugm-3
2017-11-04,13:00:00,53.53465,V ugm-3
2017-11-04,14:00:00,56.77767,V ugm-3
2017-11-04,15:00:00,54.5325,V ugm-3
2017-11-04,16:00:00,52.03788,V ugm-3
2017-11-04,17:00:00,31.18281,V ugm-3
2017-11-04,18:00:00,19.80732,V ugm-3
2017-11-04,19:00:00,16.41463,V ugm-3
2017-11-04,20:00:00,18.26066,V ugm-3
2017-11-04,21:00:00,32.5798,V ugm-3
2017-11-04,22:00:00,36.47142,V ugm-3
2017-11-04,23:00:00,27.98969,V ugm-3
2017-11-04,24:00:00,25.64475,V ugm-3
2017-11-05,01:00:00,34.19299,V ugm-3
2017-11-05,02:00:00,30.06855,V ugm-3
2017-11-05,03:00:00,21.65335,V ugm-3
2017-11-05,04:00:00,25.34539,V ugm-3
2017-11-05,05:00:00,30.53421,V ugm-3
2017-11-05,06:00:00,37.31959,V ugm-3
2017-11-05,07:00:00,27.04174,V ugm-3
2017-11-05,08:00:00,23.34969,V ugm-3
2017-11-05,09:00:00,18.85937,V ugm-3
2017-11-05,10:00:00,20.85507,V ugm-3
2017-11-05,11:00:00,28.43873,V ugm-3
2017-11-05,12:00:00,36.72088,V ugm-3
2017-11-05,13:00:00,55.28089,V ugm-3
2017-11-05,14:00:00,50.69078,V ugm-3
2017-11-05,15:00:00,46.25035,V ugm-3
2017-11-05,16:00:00,37.41938,V ugm-3
2017-11-05,17:00:00,30.93335,V ugm-3
2017-11-05,18:00:00,20.50582,V ugm-3
2017-11-05,19:00:00,10.17807,V ugm-3
2017-11-05,20:00:00,7.53377,V ugm-3
2017-11-05,21:00:00,3.79183,V ugm-3
2017-11-05,22:00:00,3.49248,V ugm-3
2017-11-05,23:00:00,2.74409,V ugm-3
2017-11-05,24:00:00,2.59441,V ugm-3
2017-11-06,01:00:00,3.06007,V ugm-3
2017-11-06,02:00:00,2.32832,V ugm-3
2017-11-06,03:00:00,2.24516,V ugm-3
2017-11-06,04:00:00,3.94151,V ugm-3
2017-11-06,05:00:00,5.23871,V ugm-3
2017-11-06,06:00:00,1.39699,V ugm-3
2017-11-06,07:00:00,1.14753,V ugm-3
2017-11-06,08:00:00,1.09763,V ugm-3
2017-11-06,09:00:00,1.44688,V ugm-3
2017-11-06,10:00:00,15.61635,V ugm-3
2017-11-06,11:00:00,34.82497,V ugm-3
2017-11-06,12:00:00,45.15271,V ugm-3
2017-11-06,13:00:00,46.30024,V ugm-3
2017-11-06,14:00:00,50.74067,V ugm-3
2017-11-06,15:00:00,49.54325,V ugm-3
2017-11-06,16:00:00,49.8925,V ugm-3
2017-11-06,17:00:00,49.44347,V ugm-3
2017-11-06,18:00:00,53.68433,V ugm-3
2017-11-06,19:00:00,58.32433,V ugm-3
2017-11-06,20:00:00,62.5153,V ugm-3
2017-11-06,21:00:00,64.61079,V ugm-3
2017-11-06,22:00:00,66.80606,V ugm-3
2017-11-06,23:00:00,69.05122,V ugm-3
2017-11-06,24:00:00,71.89509,V ugm-3
2017-11-07,01:00:00,76.36879,V ugm-3
2017-11-07,02:00:00,74.24004,V ugm-3
2017-11-07,03:00:00,69.79961,V ugm-3
2017-11-07,04:00:00,69.45036,V ugm-3
2017-11-07,05:00:00,63.41337,V ugm-3
2017-11-07,06:00:00,62.31573,V ugm-3
2017-11-07,07:00:00,50.94024,V ugm-3
2017-11-07,08:00:00,19.80732,V ugm-3
2017-11-07,09:00:00,18.6598,V ugm-3
2017-11-07,10:00:00,21.20431,V ugm-3
2017-11-07,11:00:00,29.98539,V ugm-3
2017-11-07,12:00:00,29.73593,V ugm-3
2017-11-07,13:00:00,40.36303,V ugm-3
2017-11-07,14:00:00,37.36948,V ugm-3
2017-11-07,15:00:00,38.01809,V ugm-3
2017-11-07,16:00:00,37.86841,V ugm-3
2017-11-07,17:00:00,18.70969,V ugm-3
2017-11-07,18:00:00,10.92646,V ugm-3
2017-11-07,19:00:00,16.11528,V ugm-3
2017-11-07,20:00:00,5.9871,V ugm-3
2017-11-07,21:00:00,1.9957,V ugm-3
2017-11-07,22:00:00,1.74624,V ugm-3
2017-11-07,23:00:00,1.19742,V ugm-3
2017-11-07,24:00:00,1.19742,V ugm-3
2017-11-08,01:00:00,1.26394,V ugm-3
2017-11-08,02:00:00,0.99785,V ugm-3
2017-11-08,03:00:00,0.94796,V ugm-3
2017-11-08,04:00:00,0.89807,V ugm-3
2017-11-08,05:00:00,0.99785,V ugm-3
2017-11-08,06:00:00,0.89807,V ugm-3
2017-11-08,07:00:00,0.94796,V ugm-3
2017-11-08,08:00:00,0.84817,V ugm-3
2017-11-08,09:00:00,1.24731,V ugm-3
2017-11-08,10:00:00,1.64645,V ugm-3
2017-11-08,11:00:00,1.89592,V ugm-3
2017-11-08,12:00:00,2.59441,V ugm-3
2017-11-08,13:00:00,15.61635,V ugm-3
2017-11-08,14:00:00,29.18711,V ugm-3
2017-11-08,15:00:00,30.03529,V ugm-3
2017-11-08,16:00:00,29.78582,V ugm-3
2017-11-08,17:00:00,33.67744,V ugm-3
2017-11-08,18:00:00,37.96819,V ugm-3
2017-11-08,19:00:00,40.16346,V ugm-3
2017-11-08,20:00:00,47.14841,V ugm-3
2017-11-08,21:00:00,47.2482,V ugm-3
2017-11-08,22:00:00,44.30454,V ugm-3
2017-11-08,23:00:00,45.70153,V ugm-3
2017-11-08,24:00:00,56.5282,V ugm-3
2017-11-09,01:00:00,59.07272,V ugm-3
2017-11-09,02:00:00,72.84305,V ugm-3
2017-11-09,03:00:00,74.43961,V ugm-3
2017-11-09,04:00:00,74.33983,V ugm-3
2017-11-09,05:00:00,67.05552,V ugm-3
2017-11-09,06:00:00,60.41982,V ugm-3
2017-11-09,07:00:00,44.75357,V ugm-3
2017-11-09,08:00:00,28.83787,V ugm-3
2017-11-09,09:00:00,30.48432,V ugm-3
2017-11-09,10:00:00,37.9183,V ugm-3
2017-11-09,11:00:00,43.15701,V ugm-3
2017-11-09,12:00:00,47.09852,V ugm-3
2017-11-09,13:00:00,49.2439,V ugm-3
2017-11-09,14:00:00,43.10712,V ugm-3
2017-11-09,15:00:00,40.71228,V ugm-3
2017-11-09,16:00:00,40.66239,V ugm-3
2017-11-09,17:00:00,41.2611,V ugm-3
2017-11-09,18:00:00,44.554,V ugm-3
2017-11-09,19:00:00,42.05938,V ugm-3
2017-11-09,20:00:00,44.6039,V ugm-3
2017-11-09,21:00:00,50.74067,V ugm-3
2017-11-09,22:00:00,55.38068,V ugm-3
2017-11-09,23:00:00,57.57595,V ugm-3
2017-11-09,24:00:00,53.58455,V ugm-3
2017-11-10,01:00:00,54.34956,V ugm-3
2017-11-10,02:00:00,58.54053,V ugm-3
2017-11-10,03:00:00,64.5609,V ugm-3
2017-11-10,04:00:00,71.94499,V ugm-3
2017-11-10,05:00:00,73.44176,V ugm-3
2017-11-10,06:00:00,71.04692,V ugm-3
2017-11-10,07:00:00,57.77552,V ugm-3
2017-11-10,08:00:00,56.32863,V ugm-3
2017-11-10,09:00:00,46.35013,V ugm-3
2017-11-10,10:00:00,44.70368,V ugm-3
2017-11-10,11:00:00,45.9011,V ugm-3
2017-11-10,12:00:00,50.14196,V ugm-3
2017-11-10,13:00:00,45.15271,V ugm-3
2017-11-10,14:00:00,31.08303,V ugm-3
2017-11-10,15:00:00,38.16776,V ugm-3
2017-11-10,16:00:00,39.31529,V ugm-3
2017-11-10,17:00:00,41.01164,V ugm-3
2017-11-10,18:00:00,19.45808,V ugm-3
2017-11-10,19:00:00,29.43658,V ugm-3
2017-11-10,20:00:00,23.24991,V ugm-3
2017-11-10,21:00:00,23.10023,V ugm-3
2017-11-10,22:00:00,23.34969,V ugm-3
2017-11-10,23:00:00,28.83787,V ugm-3
2017-11-10,24:00:00,15.91571,V ugm-3
2017-11-11,01:00:00,19.0922,V ugm-3
2017-11-11,02:00:00,39.38181,V ugm-3
2017-11-11,03:00:00,11.57506,V ugm-3
2017-11-11,04:00:00,9.92861,V ugm-3
2017-11-11,05:00:00,27.69034,V ugm-3
2017-11-11,06:00:00,21.75313,V ugm-3
2017-11-11,07:00:00,26.69249,V ugm-3
2017-11-11,08:00:00,13.87012,V ugm-3
2017-11-11,09:00:00,6.33635,V ugm-3
2017-11-11,10:00:00,18.01119,V ugm-3
2017-11-11,11:00:00,24.69679,V ugm-3
2017-11-11,12:00:00,41.9097,V ugm-3
2017-11-11,13:00:00,48.49551,V ugm-3
2017-11-11,14:00:00,51.13981,V ugm-3
2017-11-11,15:00:00,50.29164,V ugm-3
2017-11-11,16:00:00,39.06583,V ugm-3
2017-11-11,17:00:00,27.98969,V ugm-3
2017-11-11,18:00:00,25.64475,V ugm-3
2017-11-11,19:00:00,24.49722,V ugm-3
2017-11-11,20:00:00,20.00689,V ugm-3
2017-11-11,21:00:00,14.91786,V ugm-3
2017-11-11,22:00:00,30.634,V ugm-3
2017-11-11,23:00:00,25.69464,V ugm-3
2017-11-11,24:00:00,43.45637,V ugm-3
2017-11-12,01:00:00,31.86468,V ugm-3
2017-11-12,02:00:00,37.98482,V ugm-3
2017-11-12,03:00:00,44.70368,V ugm-3
2017-11-12,04:00:00,54.23315,V ugm-3
2017-11-12,05:00:00,52.63659,V ugm-3
2017-11-12,06:00:00,59.67143,V ugm-3
2017-11-12,07:00:00,55.231,V ugm-3
2017-11-12,08:00:00,41.76002,V ugm-3
2017-11-12,09:00:00,19.05894,V ugm-3
2017-11-12,10:00:00,34.67529,V ugm-3
2017-11-12,11:00:00,52.38713,V ugm-3
2017-11-12,12:00:00,55.08132,V ugm-3
2017-11-12,13:00:00,56.82756,V ugm-3
2017-11-12,14:00:00,57.07702,V ugm-3
2017-11-12,15:00:00,50.79057,V ugm-3
2017-11-12,16:00:00,49.59315,V ugm-3
2017-11-12,17:00:00,40.51271,V ugm-3
2017-11-12,18:00:00,52.98584,V ugm-3
2017-11-12,19:00:00,50.99014,V ugm-3
2017-11-12,20:00:00,55.28089,V ugm-3
2017-11-12,21:00:00,52.33723,V ugm-3
2017-11-12,22:00:00,14.86797,V ugm-3
2017-11-12,23:00:00,7.28431,V ugm-3
2017-11-12,24:00:00,2.04559,V ugm-3
2017-11-13,01:00:00,6.12015,V ugm-3
2017-11-13,02:00:00,5.72101,V ugm-3
2017-11-13,03:00:00,12.02409,V ugm-3
2017-11-13,04:00:00,3.59226,V ugm-3
2017-11-13,05:00:00,1.94581,V ugm-3
2017-11-13,06:00:00,1.19742,V ugm-3
2017-11-13,07:00:00,1.09763,V ugm-3
2017-11-13,08:00:00,1.3471,V ugm-3
2017-11-13,09:00:00,1.79613,V ugm-3
2017-11-13,10:00:00,2.04559,V ugm-3
2017-11-13,11:00:00,2.29506,V ugm-3
2017-11-13,12:00:00,2.44473,V ugm-3
2017-11-13,13:00:00,2.74409,V ugm-3
2017-11-13,14:00:00,19.85722,V ugm-3
2017-11-13,15:00:00,24.29765,V ugm-3
2017-11-13,16:00:00,24.597,V ugm-3
2017-11-13,17:00:00,21.05464,V ugm-3
2017-11-13,18:00:00,23.64905,V ugm-3
2017-11-13,19:00:00,27.84002,V ugm-3
2017-11-13,20:00:00,30.634,V ugm-3
2017-11-13,21:00:00,32.38023,V ugm-3
2017-11-13,22:00:00,35.42368,V ugm-3
2017-11-13,23:00:00,43.55615,V ugm-3
2017-11-13,24:00:00,47.64734,V ugm-3
2017-11-14,01:00:00,49.69293,V ugm-3
2017-11-14,02:00:00,54.61566,V ugm-3
2017-11-14,03:00:00,55.28089,V ugm-3
2017-11-14,04:00:00,56.32863,V ugm-3
2017-11-14,05:00:00,57.72562,V ugm-3
2017-11-14,06:00:00,52.13766,V ugm-3
2017-11-14,07:00:00,25.9441,V ugm-3
2017-11-14,08:00:00,12.6228,V ugm-3
2017-11-14,09:00:00,2.14538,V ugm-3
2017-11-14,10:00:00,2.44473,V ugm-3
2017-11-14,11:00:00,12.77248,V ugm-3
2017-11-14,12:00:00,40.96174,V ugm-3
2017-11-14,13:00:00,37.46927,V ugm-3
2017-11-14,14:00:00,35.42368,V ugm-3
2017-11-14,15:00:00,25.79442,V ugm-3
2017-11-14,16:00:00,18.56001,V ugm-3
2017-11-14,17:00:00,28.08948,V ugm-3
2017-11-14,18:00:00,23.39958,V ugm-3
2017-11-14,19:00:00,9.9785,V ugm-3
2017-11-14,20:00:00,16.36474,V ugm-3
2017-11-14,21:00:00,14.11958,V ugm-3
2017-11-14,22:00:00,16.6142,V ugm-3
2017-11-14,23:00:00,23.2998,V ugm-3
