Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow High Street",,"Glasgow Townhead",
Latitude,,55.860936,,55.865782,,
Longitude,,-4.238214,,-4.243631,,
Site Type,,Urban Traffic,,Urban Background,,
Zone,,Central Scotland,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,"Glasgow",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-01,01:00:00,10.6,V ugm-3 (TEOM FDMS),12.838,V ugm-3 (TEOM FDMS)
2017-11-01,02:00:00,10.6,V ugm-3 (TEOM FDMS),14.616,V ugm-3 (TEOM FDMS)
2017-11-01,03:00:00,15.9,V ugm-3 (TEOM FDMS),17.677,V ugm-3 (TEOM FDMS)
2017-11-01,04:00:00,14.5,V ugm-3 (TEOM FDMS),18.665,V ugm-3 (TEOM FDMS)
2017-11-01,05:00:00,13.8,V ugm-3 (TEOM FDMS),18.073,V ugm-3 (TEOM FDMS)
2017-11-01,06:00:00,12.3,V ugm-3 (TEOM FDMS),15.11,V ugm-3 (TEOM FDMS)
2017-11-01,07:00:00,6,V ugm-3 (TEOM FDMS),10.073,V ugm-3 (TEOM FDMS)
2017-11-01,08:00:00,8.8,V ugm-3 (TEOM FDMS),8.789,V ugm-3 (TEOM FDMS)
2017-11-01,09:00:00,4.3,V ugm-3 (TEOM FDMS),9.678,V ugm-3 (TEOM FDMS)
2017-11-01,10:00:00,4.3,V ugm-3 (TEOM FDMS),8.888,V ugm-3 (TEOM FDMS)
2017-11-01,11:00:00,4.7,V ugm-3 (TEOM FDMS),8.394,V ugm-3 (TEOM FDMS)
2017-11-01,12:00:00,6.2,V ugm-3 (TEOM FDMS),8.789,V ugm-3 (TEOM FDMS)
2017-11-01,13:00:00,6.7,V ugm-3 (TEOM FDMS),7.308,V ugm-3 (TEOM FDMS)
2017-11-01,14:00:00,6.8,V ugm-3 (TEOM FDMS),9.974,V ugm-3 (TEOM FDMS)
2017-11-01,15:00:00,8.2,V ugm-3 (TEOM FDMS),8.296,V ugm-3 (TEOM FDMS)
2017-11-01,16:00:00,6,V ugm-3 (TEOM FDMS),8.296,V ugm-3 (TEOM FDMS)
2017-11-01,17:00:00,5.4,V ugm-3 (TEOM FDMS),11.456,V ugm-3 (TEOM FDMS)
2017-11-01,18:00:00,5.5,V ugm-3 (TEOM FDMS),7.999,V ugm-3 (TEOM FDMS)
2017-11-01,19:00:00,3.7,V ugm-3 (TEOM FDMS),6.913,V ugm-3 (TEOM FDMS)
2017-11-01,20:00:00,5.5,V ugm-3 (TEOM FDMS),4.444,V ugm-3 (TEOM FDMS)
2017-11-01,21:00:00,5.4,V ugm-3 (TEOM FDMS),4.049,V ugm-3 (TEOM FDMS)
2017-11-01,22:00:00,4.1,V ugm-3 (TEOM FDMS),4.444,V ugm-3 (TEOM FDMS)
2017-11-01,23:00:00,0.3,V ugm-3 (TEOM FDMS),7.308,V ugm-3 (TEOM FDMS)
