The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Daily Mean data	    supplied by UK-air on 15/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Aberdeen",,"Aston Hill",,"Auchencorth Moss",,"Barnsley Gawber",,"Belfast Centre",,"Birmingham A4540 Roadside",,"Birmingham Acocks Green",,"Blackpool Marton",,"Bournemouth",,"Brighton Preston Park",,"Bristol St Paul's",,"Bush Estate",,"Canterbury",,"Cardiff Centre",,"Charlton Mackrell",,"Chilbolton Observatory",,"Coventry Allesley",,"Cwmbran",,"Derry Rosemount",,"Edinburgh St Leonards",,"Eskdalemuir",,"Exeter Roadside",,"Fort William",,"Glasgow Townhead",,"Glazebury",,"High Muffles",,"Hull Freetown",,"Ladybower",,"Leamington Spa",,"Leeds Centre",,"Leicester University",,"Leominster",,"Lerwick",,"Liverpool Speke",,"London Bloomsbury",,"London Eltham",,"London Haringey Priory Park South",,"London Harlington",,"London Hillingdon",,"London Marylebone Road",,"London N. Kensington",,"London Westminster",,"Lough Navar",,"Lullington Heath",,"Mace Head",,"Manchester Piccadilly",,"Manchester Sharston",,"Market Harborough",,"Middlesbrough",,"Narberth",,"Newcastle Centre",,"Northampton Spring Park",,"Norwich Lakenfields",,"Nottingham Centre",,"Peebles",,"Plymouth Centre",,"Port Talbot Margam",,"Portsmouth",,"Preston",,"Reading New Town",,"Rochester Stoke",,"Salford Eccles",,"Sheffield Devonshire Green",,"Sibton",,"Southampton Centre",,"Southend-on-Sea",,"St Osyth",,"Stoke-on-Trent Centre",,"Strathvaich",,"Sunderland Silksworth",,"Thurrock",,"Walsall Woodlands",,"Weybourne",,"Wicken Fen",,"Wigan Centre",,"Wirral Tranmere",,"Yarner Wood",
Latitude,57.157360,,52.503850,,55.792160,,53.562920,,54.599650,,52.476145,,52.437165,,53.804890,,50.739570,,50.840836,,51.462839,,55.862281,,51.273990,,51.481780,,51.056250,,51.149617,,52.411628,,51.653800,,55.002818,,55.945589,,55.315310,,50.725083,,56.822660,,55.865782,,53.460080,,54.334497,,53.748780,,53.403370,,52.288810,,53.803780,,52.619904,,52.221593,,60.139220,,53.346330,,51.522290,,51.452580,,51.584128,,51.488790,,51.496330,,51.522530,,51.521050,,51.494670,,54.439510,,50.793700,,,,53.481520,,53.371722,,52.554444,,54.569297,,51.782616,,54.978250,,52.272257,,52.614823,,52.954730,,55.657472,,50.371670,,51.583950,,50.828810,,53.765590,,51.453090,,51.456170,,53.484810,,53.378622,,52.294400,,50.908173,,51.544166,,51.777874,,53.028210,,57.734456,,54.883610,,51.477070,,52.605641,,52.950490,,52.298500,,53.549140,,53.372870,,50.597600,,
Longitude,-2.094278,,-3.034178,,-3.242900,,-1.510436,,-5.928833,,-1.874978,,-1.829999,,-3.007175,,-1.826744,,-0.147572,,-2.584482,,-3.205782,,1.098061,,-3.176250,,-2.683450,,-1.438228,,-1.560189,,-3.006953,,-7.331179,,-3.182186,,-3.206111,,-3.532465,,-5.101102,,-4.243631,,-2.472056,,-0.808820,,-0.341222,,-1.752006,,-1.533119,,-1.546472,,-1.127182,,-2.736840,,-1.185319,,-2.844333,,-0.125889,,0.070766,,-0.125254,,-0.441614,,-0.460861,,-0.154611,,-0.213492,,-0.131931,,-7.900328,,0.181250,,,,-2.237881,,-2.238917,,-0.772222,,-1.220874,,-4.692370,,-1.610528,,-0.916605,,1.302686,,-1.146447,,-3.196527,,-4.142361,,-3.770822,,-1.068583,,-2.680353,,-0.944067,,0.634889,,-2.334139,,-1.478096,,1.463497,,-1.395757,,0.678331,,1.049010,,-2.175133,,-4.776583,,-1.406878,,0.317969,,-2.030371,,1.122017,,0.290917,,-2.638139,,-3.022722,,-3.716510,,
Site Type,Urban Background,,Rural Background,,Rural Background,,Urban Background,,Urban Background,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,,Urban Background,,Urban Background,,Rural Background,,Urban Background,,Urban Background,,Rural Background,,Rural Background,,Urban Background,,Urban Background,,Urban Background,,Urban Background,,Rural Background,,Urban Traffic,,Suburban Background,,Urban Background,,Rural Background,,Rural Background,,Urban Background,,Rural Background,,Urban Background,,Urban Background,,Urban Background,,Suburban Background,,Rural Background,,Urban Industrial,,Urban Background,,Suburban Background,,Urban Background,,Urban Industrial,,Urban Background,,Urban Traffic,,Urban Background,,Urban Background,,Rural Background,,Rural Background,,,,Urban Background,,Suburban Industrial,,Rural Background,,Urban Background,,Rural Background,,Urban Background,,Urban Background,,Urban Background,,Urban Background,,Urban Background,,Urban Background,,Urban Industrial,,Urban Background,,Urban Background,,Urban Background,,Rural Background,,Urban Background,,Urban Background,,Rural Background,,Urban Background,,Urban Background,,Rural Background,,Urban Background,,Rural Background,,Urban Background,,Urban Background,,Urban Background,,Rural Background,,Rural Background,,Urban Background,,Urban Background,,Rural Background,,
Zone,North East Scotland,,North Wales,,Central Scotland,,Yorkshire & Humberside,,Northern Ireland,,West Midlands,,West Midlands,,North West & Merseyside,,South West,,South East,,South West,,Central Scotland,,South East,,South Wales,,South West,,South East,,West Midlands,,South Wales,,Northern Ireland,,Central Scotland,,Scottish Borders,,South West,,Highland,,Central Scotland,,North West & Merseyside,,Yorkshire & Humberside,,Yorkshire & Humberside,,East Midlands,,West Midlands,,Yorkshire & Humberside,,East Midlands,,West Midlands,,Highland,,North West & Merseyside,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Northern Ireland,,South East,,,,North West & Merseyside,,North West & Merseyside,,East Midlands,,North East,,South Wales,,North East,,East Midlands,,Eastern,,East Midlands,,Scottish Borders,,South West,,South Wales,,South East,,North West & Merseyside,,South East,,South East,,North West & Merseyside,,Yorkshire & Humberside,,Eastern,,South East,,Eastern,,Eastern,,West Midlands,,Highland,,North East,,Eastern,,West Midlands,,Eastern,,Eastern,,North West & Merseyside,,North West & Merseyside,,South West,,
Agglomeration,#N/A,,#N/A,,#N/A,,#N/A,,Belfast Metropolitan Urban Area,,West Midlands Urban Area,,West Midlands Urban Area,,Blackpool Urban Area,,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,Bristol Urban Area,,#N/A,,#N/A,,Cardiff Urban Area,,#N/A,,#N/A,,Coventry/Bedworth,,#N/A,,#N/A,,Edinburgh Urban Area,,#N/A,,#N/A,,#N/A,,Glasgow Urban Area,,#N/A,,#N/A,,Kingston upon Hull,,#N/A,,#N/A,,West Yorkshire Urban Area,,Leicester Urban Area,,#N/A,,#N/A,,Liverpool Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,,,Greater Manchester Urban Area,,Greater Manchester Urban Area,,#N/A,,Teesside Urban Area,,#N/A,,Tyneside,,#N/A,,#N/A,,Nottingham Urban Area,,#N/A,,#N/A,,Swansea Urban Area,,Portsmouth Urban Area,,Preston Urban Area,,Reading/Wokingham Urban Area,,#N/A,,Greater Manchester Urban Area,,Sheffield Urban Area,,#N/A,,Southampton Urban Area,,Southend Urban Area,,#N/A,,The Potteries,,#N/A,,#N/A,,#N/A,,West Midlands Urban Area,,#N/A,,#N/A,,#N/A,,Birkenhead Urban Area,,#N/A,,
Local Authority,"Aberdeen",,"Powys",,"Midlothian",,"Barnsley",,"Belfast",,"Birmingham",,"Birmingham",,"Blackpool",,"Bournemouth",,"Brighton",,"Bristol",,"Midlothian",,"Canterbury",,"Cardiff",,"S Somerset",,"Test Valley",,"Coventry",,"Torfaen",,"Derry and Strabane",,"Edinburgh",,"Dumfries",,"Exeter",,"Highland",,"Glasgow",,"Salford",,"Ryedale",,"Kingston-upon-Hull",,"High Peak",,"Warwick",,"Leeds",,"Leicester",,"Herefordshire",,"Shetland",,"Liverpool",,"Camden",,"Greenwich",,"Haringey",,"Hillingdon",,"Hillingdon",,"Westminster",,"Kensington",,"Westminster",,"Fermanagh and Omagh",,"Wealden",,"",,"Manchester",,"Manchester",,"Harborough",,"Middlesbrough",,"Pembrokeshire",,"Newcastle",,"Northampton",,"Norwich",,"Nottingham",,"Scottish Borders",,"Plymouth",,"Port Talbot",,"Portsmouth",,"Preston",,"Reading",,"Medway",,"Salford",,"Sheffield",,"East Suffolk",,"Southampton",,"Southend",,"Tendring",,"Stoke",,"Highland",,"Sunderland",,"Thurrock",,"Walsall",,"N Norfolk",,"E Cambridgeshire",,"Wigan",,"Wirral",,"Teignbridge",,
Date,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status
2017-10-01,38,V ugm-3,54,V ugm-3,47,V ugm-3,34,V ugm-3,43,V ugm-3,37,V ugm-3,42,V ugm-3,44,V ugm-3,55,V ugm-3,54,V ugm-3,42,V ugm-3,44,V ugm-3,58,V ugm-3,46,V ugm-3,53,V ugm-3,47,V ugm-3,43,V ugm-3,52,V ugm-3,59,V ugm-3,36,V ugm-3,47,V ugm-3,31,V ugm-3,53,V ugm-3,33,V ugm-3,39,V ugm-3,44,V ugm-3,43,V ugm-3,44,V ugm-3,43,V ugm-3,29,V ugm-3,39,V ugm-3,No data,V ugm-3,69,V ugm-3,41,V ugm-3,38,V ugm-3,47,V ugm-3,45,V ugm-3,No data,V ugm-3,16,V ugm-3,14,V ugm-3,48,V ugm-3,,,53,V ugm-3,58,V ugm-3,70,V ugm-3,19,V ugm-3,36,V ugm-3,46,V ugm-3,38,V ugm-3,51,V ugm-3,22,V ugm-3,53,V ugm-3,49,V ugm-3,37,V ugm-3,45,V ugm-3,51,V ugm-3,49,V ugm-3,No data,V ugm-3,39,V ugm-3,37,V ugm-3,56,V ugm-3,,,36,V ugm-3,61,V ugm-3,45,V ugm-3,51,V ugm-3,58,V ugm-3,36,V ugm-3,60,V ugm-3,38,V ugm-3,47,V ugm-3,46,V ugm-3,53,V ugm-3,48,V ugm-3,39,V ugm-3,44,V ugm-3,No data,V ugm-3
2017-10-02,62,V ugm-3,71,V ugm-3,67,V ugm-3,57,V ugm-3,64,V ugm-3,45,V ugm-3,58,V ugm-3,75,V ugm-3,56,V ugm-3,55,V ugm-3,62,V ugm-3,72,V ugm-3,54,V ugm-3,54,V ugm-3,67,V ugm-3,59,V ugm-3,55,V ugm-3,68,V ugm-3,75,V ugm-3,52,V ugm-3,73,V ugm-3,49,V ugm-3,81,V ugm-3,59,V ugm-3,71,V ugm-3,70,V ugm-3,58,V ugm-3,66,V ugm-3,55,V ugm-3,54,V ugm-3,42,V ugm-3,No data,V ugm-3,79,V ugm-3,69,V ugm-3,39,V ugm-3,47,V ugm-3,56,V ugm-3,No data,V ugm-3,23,V ugm-3,13,V ugm-3,53,V ugm-3,,,73,V ugm-3,63,V ugm-3,84,V ugm-3,47,V ugm-3,58,V ugm-3,58,V ugm-3,64,V ugm-3,60,V ugm-3,59,V ugm-3,66,V ugm-3,56,V ugm-3,53,V ugm-3,75,V ugm-3,58,V ugm-3,62,V ugm-3,No data,V ugm-3,63,V ugm-3,49,V ugm-3,57,V ugm-3,,,62,V ugm-3,65,V ugm-3,35,V ugm-3,51,V ugm-3,62,V ugm-3,57,V ugm-3,78,V ugm-3,69,V ugm-3,42,V ugm-3,61,V ugm-3,61,V ugm-3,59,V ugm-3,69,V ugm-3,71,V ugm-3,No data,V ugm-3
2017-10-03,58,V ugm-3,68,V ugm-3,63,V ugm-3,55,V ugm-3,51,V ugm-3,36,V ugm-3,54,V ugm-3,72,V ugm-3,54,V ugm-3,42,V ugm-3,48,V ugm-3,70,V ugm-3,37,V ugm-3,40,V ugm-3,62,V ugm-3,49,V ugm-3,50,V ugm-3,52,V ugm-3,69,V ugm-3,50,V ugm-3,69,V ugm-3,29,V ugm-3,77,V ugm-3,54,V ugm-3,66,V ugm-3,67,V ugm-3,54,V ugm-3,63,V ugm-3,46,V ugm-3,46,V ugm-3,38,V ugm-3,No data,V ugm-3,79,V ugm-3,62,V ugm-3,21,V ugm-3,27,V ugm-3,40,V ugm-3,No data,V ugm-3,23,V ugm-3,14,V ugm-3,34,V ugm-3,,,64,V ugm-3,53,V ugm-3,83,V ugm-3,40,V ugm-3,54,V ugm-3,55,V ugm-3,57,V ugm-3,56,V ugm-3,50,V ugm-3,58,V ugm-3,54,V ugm-3,45,V ugm-3,70,V ugm-3,35,V ugm-3,48,V ugm-3,No data,V ugm-3,58,V ugm-3,34,V ugm-3,44,V ugm-3,,,57,V ugm-3,61,V ugm-3,35,V ugm-3,40,V ugm-3,56,V ugm-3,50,V ugm-3,76,V ugm-3,62,V ugm-3,27,V ugm-3,57,V ugm-3,65,V ugm-3,48,V ugm-3,68,V ugm-3,67,V ugm-3,58,V ugm-3
